eruptions,waiting,predicted_waiting
4.367,88,80.25648024575602
2.1,49,55.70011690234009
4.5,83,81.6971491141611
4.05,81,76.82270557444467
1.867,47,53.17623835844246
4.7,84,83.8635684651462
1.783,52,52.26634223102873
4.85,86,85.488382978385
3.683,81,72.84732606538704
4.733,75,84.22102765805873
2.3,59,57.86653625332517
4.9,89,86.0299878161313
4.417,79,80.7980850835023
1.7,59,51.367278200369924
4.633,81,83.13781798256619
2.317,50,58.05068189815891
4.6,85,82.78035878965365
1.817,59,52.6346335206962
4.417,87,80.7980850835023
2.617,53,61.300310924636534
4.067,69,77.0068512192784
4.25,77,78.98912492542976
1.967,56,54.25944803393501
4.6,88,82.78035878965365
3.767,81,73.75722219280078
1.917,45,53.71784319618874
4.5,82,81.6971491141611
2.267,55,57.509077060412636
4.65,90,83.32196362739992
1.867,45,53.17623835844246
4.167,83,78.09006089477094
2.8,56,63.28258463078789
4.333,89,79.88818895608857
1.833,46,52.807947068775
4.383,82,80.42979379383483
1.883,51,53.34955190652127
4.933,86,86.38744700904383
2.033,53,54.97436641976009
3.733,79,73.38893090313331
4.233,81,78.80497928059602
2.233,60,57.140785770745175
4.533,82,82.05460830707365
4.817,77,85.13092378547248
4.333,76,79.88818895608857
1.983,59,54.43276158201382
4.633,80,83.13781798256619
2.017,49,54.80105287168128
5.1,96,88.19640716711636
1.8,53,52.450487875862464
5.033,77,87.47065668453637
4.0,77,76.2811007366984
2.4,65,58.94974592881772
4.6,81,82.78035878965365
3.567,71,71.59080284181569
4.0,70,76.2811007366984
4.5,81,81.6971491141611
4.083,93,77.18016476735721
1.8,53,52.450487875862464
3.967,89,75.92364154378586
2.2,45,56.78332657783263
4.15,86,77.90591524993722
2.0,58,54.616907226847545
3.833,78,74.47214057862585
3.5,66,70.86505235923569
4.583,76,82.59621314481993
2.367,63,58.592286735905176
5.0,88,87.11319749162382
1.933,52,53.89115674426755
4.617,93,82.9645044344874
1.917,49,53.71784319618874
2.083,57,55.51597125750636
4.583,77,82.59621314481993
3.333,68,69.05609220116314
4.167,81,78.09006089477094
4.333,81,79.88818895608857
4.5,73,81.6971491141611
2.417,50,59.13389157365145
4.0,85,76.2811007366984
4.167,74,78.09006089477094
1.883,55,53.34955190652127
4.583,77,82.59621314481993
4.25,83,78.98912492542976
3.767,83,73.75722219280078
2.033,51,54.97436641976009
4.433,78,80.97139863158111
4.083,84,77.18016476735721
1.833,46,52.807947068775
4.417,83,80.7980850835023
2.183,55,56.5991809329989
4.8,81,84.94677814063874
1.833,57,52.807947068775
4.8,76,84.94677814063874
4.1,84,77.36431041219095
3.966,77,75.91280944703094
4.233,81,78.80497928059602
3.5,87,70.86505235923569
4.366,77,80.2456481490011
2.25,51,57.3249314155789
4.667,78,83.50610927223366
2.1,60,55.70011690234009
4.35,82,80.07233460092229
4.133,91,77.72176960510347
1.867,53,53.17623835844246
4.6,78,82.78035878965365
1.783,46,52.26634223102873
4.367,77,80.25648024575602
3.85,84,74.65628622345959
1.933,49,53.89115674426755
4.5,83,81.6971491141611
2.383,71,58.765600283983986
4.7,80,83.8635684651462
1.867,49,53.17623835844246
3.833,75,74.47214057862585
3.417,64,69.96598832857687
4.233,76,78.80497928059602
2.4,53,58.94974592881772
4.8,94,84.94677814063874
2.0,55,54.616907226847545
4.15,76,77.90591524993722
1.867,50,53.17623835844246
4.267,82,79.1732705702635
1.75,54,51.908883038116194
4.483,75,81.51300346932737
4.0,78,76.2811007366984
4.117,79,77.54845605702468
4.083,78,77.18016476735721
4.267,78,79.1732705702635
3.917,70,75.38203670603959
4.55,79,82.23875395190738
4.083,70,77.18016476735721
2.417,54,59.13389157365145
4.183,86,78.26337444284975
2.217,50,56.967472222666366
4.45,90,81.15554427641484
1.883,54,53.34955190652127
1.85,54,52.992092713608734
4.283,77,79.34658411834229
3.95,79,75.73949589895213
2.333,64,58.223995446237716
4.15,75,77.90591524993722
2.35,47,58.40814109107145
4.933,86,86.38744700904383
2.9,63,64.36579430628043
4.583,85,82.59621314481993
3.833,82,74.47214057862585
2.083,57,55.51597125750636
4.367,82,80.25648024575602
2.133,67,56.05757609525263
4.35,74,80.07233460092229
2.2,54,56.78332657783263
4.45,83,81.15554427641484
3.567,73,71.59080284181569
4.5,73,81.6971491141611
4.15,88,77.90591524993722
3.817,80,74.29882703054705
3.917,71,75.38203670603959
4.45,83,81.15554427641484
2.0,56,54.616907226847545
4.283,79,79.34658411834229
4.767,78,84.58931894772621
4.533,84,82.05460830707365
1.85,58,52.992092713608734
4.25,83,78.98912492542976
1.983,43,54.43276158201382
2.25,60,57.3249314155789
4.75,75,84.40517330289246
4.117,81,77.54845605702468
2.15,46,56.24172174008636
4.417,90,80.7980850835023
1.817,46,52.6346335206962
4.467,74,81.33968992124858
